f36c69,127.0.0.1,GET,http://127.0.0.1:8000/,1705508514,,404,request
e94fff,127.0.0.1,GET,https://127.0.0.1:8000/,1705510058,,404,request
09af06,127.0.0.1,GET,https://127.0.0.1:8000/,1705510060,,404,request
73869b,127.0.0.1,GET,https://127.0.0.1:8000/,1705510062,,404,request
f7dbe3,127.0.0.1,GET,https://127.0.0.1:8000/,1705510062,,404,request
4790c5,127.0.0.1,GET,https://127.0.0.1:8000/,1705510544,42c7cd,500,request
42c7cd,127.0.0.1,GET,https://127.0.0.1:8000/,1705510544,,500,request
755871,127.0.0.1,GET,https://127.0.0.1:8000/favicon.ico,1705510544,0be8dc,404,request
0be8dc,127.0.0.1,GET,https://127.0.0.1:8000/favicon.ico,1705510544,,404,request
fca47e,127.0.0.1,GET,https://127.0.0.1:8000/,1705510614,d5914e,500,request
d5914e,127.0.0.1,GET,https://127.0.0.1:8000/,1705510614,,500,request
e533ef,127.0.0.1,GET,https://127.0.0.1:8000/,1705510696,c6f4b0,500,request
c6f4b0,127.0.0.1,GET,https://127.0.0.1:8000/,1705510696,,500,request
958952,127.0.0.1,GET,https://127.0.0.1:8000/,1705510697,98cc4c,500,request
98cc4c,127.0.0.1,GET,https://127.0.0.1:8000/,1705510697,,500,request
d441ed,127.0.0.1,GET,https://127.0.0.1:8000/,1705510701,f51d8d,500,request
f51d8d,127.0.0.1,GET,https://127.0.0.1:8000/,1705510701,,500,request
7d063c,127.0.0.1,GET,https://127.0.0.1:8000/,1705510702,ae89cb,500,request
ae89cb,127.0.0.1,GET,https://127.0.0.1:8000/,1705510702,,500,request
38d1fc,127.0.0.1,GET,https://127.0.0.1:8000/,1705510746,,200,request
